feature,mu0,mu1,mu2,sep_12,mu0_entre_mu1_mu2,t_rel,sd0,sd1,sd2
fiberMag_z,0.5185508260675873,0.05707288206851433,-0.09266827700449336,0.1497411590730077,False,-3.08183766478043,1.2519544147284247,1.016899826877278,0.9294871118131969
psfMag_g,0.2760750642835245,-0.13386717409748633,0.0057380241490529995,0.13960519824653933,False,2.9364396421475867,1.2052274338457953,0.7323951665397473,1.038013752108087
modelMagErr_g,0.38247100085805585,-0.1407928940946636,-0.007026926326269902,0.13376596776839372,False,3.9117864108658327,2.9803817735722613,0.04620437656473928,0.4486780599123325
fiberMagErr_g,0.4007922924805945,-0.13931470165109888,-0.010120565440675924,0.12919413621042297,False,4.180584428785548,2.1062444382533054,0.21376294244906088,0.8998124282992882
cModelMagErr_r,0.41921082991271535,-0.12826451567523126,-0.016437510507153894,0.11182700516807736,False,4.8957346641366675,3.040162883705992,0.16652325417980113,0.37269735016848177
cModelMagErr_g,0.39998338412293527,-0.12298551015085736,-0.015481084300675275,0.10750442585018208,False,4.864626643396067,3.0570528761891103,0.03470234036541848,0.36879786574886925
fiberMag_i,0.47050598509366304,0.02946051776791787,-0.07659691595614153,0.1060574337240594,False,-4.158553076753289,1.2875698334439567,0.9765557889826939,0.9425486491735302
calibStatus_u,-0.012382390993050796,0.06244359900768159,-0.019181665346249342,0.08162526435393093,True,0.916701349673839,1.0115139650058151,0.9761818996617034,1.006846674294822
petroMagErr_g,0.5202186297309516,-0.10677529262962403,-0.03796602219681933,0.0688092704328047,False,9.112055954333405,2.97416676828469,0.06907033171624695,0.43520938115901064
cx,0.031139107166385956,0.04501974313530035,-0.019510836011353724,0.06453057914665407,True,0.21510167973804878,1.0119888922967402,0.9820913692677693,1.0051051599910719
cz,-0.014345575927159676,-0.04517139619977388,0.017180328251633598,0.06235172445140748,True,0.4943860100715846,1.0271557008048615,1.034958985031436,0.985103494221397
petroMagErr_r,0.4538662223862934,-0.09459673740807639,-0.032640617366987944,0.06195612004108845,False,8.852442009451797,2.71046156351929,0.19033200876087125,0.6324059494434682
zWarning,-0.0037044553492734476,-0.043694160152439356,0.015176073955884765,0.05887023410832412,True,0.679285642547011,0.28200814666095997,0.05566943483986424,1.2102580332916903
fiberMagErr_r,0.5128154963154631,-0.09245588365960683,-0.04171758058427431,0.05073830307533252,False,11.929279130135813,2.586688784305439,0.2430357584353352,0.6897873069694582
petroMagErr_i,0.5262224848312563,-0.09274447515125177,-0.04352195374367277,0.049222521407579,False,12.574873092283386,2.645329938198336,0.19282154417000313,0.6617070728449789
psfMagErr_g,0.44559286734307896,-0.0806999378805815,-0.036127074395928487,0.04457286348465301,False,11.80747127464381,3.0742861035647033,0.08505606756264163,0.339845612833399
