w0,w1,w2,f1_macro,f1_0,rec_0,prec_0,f1_1,f1_2
0.5,1.0,2.0000000000000013,0.550866194145007,0.08403361344537816,0.052083333333333336,0.21739130434782608,0.6854663774403471,0.8830985915492958
0.5,1.0,2.0500000000000016,0.5528840631658204,0.0847457627118644,0.052083333333333336,0.22727272727272727,0.6884531590413944,0.8854532677442024
0.5,1.0,2.1000000000000014,0.5529851043092163,0.08547008547008547,0.052083333333333336,0.23809523809523808,0.687089715536105,0.8863955119214586
0.5,1.0,2.1500000000000012,0.5529851043092163,0.08547008547008547,0.052083333333333336,0.23809523809523808,0.687089715536105,0.8863955119214586
0.5,1.0,2.2000000000000015,0.5545501955072187,0.08620689655172414,0.052083333333333336,0.25,0.6901098901098901,0.887333799860042
0.5,1.0,2.2500000000000018,0.5527182469785986,0.08695652173913043,0.052083333333333336,0.2631578947368421,0.6843267108167771,0.8868715083798883
0.5,1.0,2.3000000000000016,0.5473841532322323,0.07079646017699115,0.041666666666666664,0.23529411764705882,0.6843267108167771,0.8870292887029289
0.5,1.0,2.3500000000000014,0.5473841532322323,0.07079646017699115,0.041666666666666664,0.23529411764705882,0.6843267108167771,0.8870292887029289
0.5,1.0,2.4000000000000017,0.5414364297379965,0.05357142857142857,0.03125,0.1875,0.6843267108167771,0.886411149825784
0.5,1.0,2.450000000000002,0.5414364297379965,0.05357142857142857,0.03125,0.1875,0.6843267108167771,0.886411149825784
0.5,1.0,2.5000000000000018,0.5402604098804212,0.05357142857142857,0.03125,0.1875,0.6814159292035398,0.8857938718662952
0.5,1.0,2.5500000000000016,0.5401409815989896,0.05357142857142857,0.03125,0.1875,0.6815144766146993,0.8853370396108409
0.5,1.0,2.600000000000002,0.5377649664178175,0.05357142857142857,0.03125,0.1875,0.6756152125279642,0.8841082581540597
0.55,1.0,0.5,0.5890352700774982,0.2389937106918239,0.19791666666666666,0.30158730158730157,0.6772486772486772,0.8508634222919937
0.55,1.0,0.55,0.5955589660739314,0.24203821656050956,0.19791666666666666,0.3114754098360656,0.6857142857142857,0.8589243959469992
0.55,1.0,0.6000000000000001,0.5986013986013986,0.24516129032258063,0.19791666666666666,0.3220338983050847,0.6881720430107527,0.8624708624708625
0.55,1.0,0.6500000000000001,0.6014384875180521,0.24675324675324675,0.19791666666666666,0.3275862068965517,0.6920289855072463,0.865533230293663
0.55,1.0,0.7000000000000002,0.5968732283743334,0.23841059602649006,0.1875,0.32727272727272727,0.6873857404021938,0.8648233486943164
0.55,1.0,0.7500000000000002,0.5984845237036169,0.24,0.1875,0.3333333333333333,0.6876155268022182,0.8678380443086325
0.55,1.0,0.8000000000000003,0.5978581506576361,0.23129251700680273,0.17708333333333334,0.3333333333333333,0.6917293233082706,0.8705526116578349
0.55,1.0,0.8500000000000003,0.598664064194318,0.23448275862068965,0.17708333333333334,0.3469387755102041,0.690566037735849,0.8709433962264151
0.55,1.0,0.9000000000000004,0.6015472864494148,0.23448275862068965,0.17708333333333334,0.3469387755102041,0.6958174904942965,0.8743416102332581
0.55,1.0,0.9500000000000004,0.5935054857178065,0.2097902097902098,0.15625,0.3191489361702128,0.6973180076628352,0.8734082397003745
0.55,1.0,1.0000000000000004,0.5961883835652221,0.2127659574468085,0.15625,0.3333333333333333,0.6988416988416989,0.8769574944071589
0.55,1.0,1.0500000000000005,0.597937430786268,0.21428571428571427,0.15625,0.3409090909090909,0.7015503875968992,0.8779761904761905
0.55,1.0,1.1000000000000005,0.599318816044549,0.21428571428571427,0.15625,0.3409090909090909,0.7045009784735812,0.8791697553743514
0.55,1.0,1.1500000000000006,0.6012325772002403,0.21739130434782608,0.15625,0.35714285714285715,0.7049504950495049,0.8813559322033898
0.55,1.0,1.2000000000000006,0.5971214392915246,0.20588235294117646,0.14583333333333334,0.35,0.7037773359840954,0.881704628949302
0.55,1.0,1.2500000000000007,0.5932284655205395,0.19402985074626866,0.13541666666666666,0.34210526315789475,0.7037773359840954,0.8818782098312545
0.55,1.0,1.3000000000000007,0.5953787258436453,0.19402985074626866,0.13541666666666666,0.34210526315789475,0.7082494969818913,0.8838568298027758
0.55,1.0,1.3500000000000008,0.5914365578645215,0.18181818181818182,0.125,0.3333333333333333,0.7073170731707317,0.8851744186046512
0.55,1.0,1.4000000000000008,0.5903446966503553,0.18181818181818182,0.125,0.3333333333333333,0.7046843177189409,0.8845315904139434
0.55,1.0,1.4500000000000008,0.5898968645126882,0.183206106870229,0.125,0.34285714285714286,0.702258726899384,0.8842257597684515
0.55,1.0,1.5000000000000009,0.5871553280658902,0.17054263565891473,0.11458333333333333,0.3333333333333333,0.7053941908713693,0.8855291576673866
0.55,1.0,1.550000000000001,0.5828560837796096,0.15748031496062992,0.10416666666666667,0.3225806451612903,0.7053941908713693,0.8856937455068297
0.55,1.0,1.600000000000001,0.5850517713860612,0.15873015873015872,0.10416666666666667,0.3333333333333333,0.7083333333333334,0.8880918220946915
0.55,1.0,1.650000000000001,0.5779844341872037,0.144,0.09375,0.3103448275862069,0.7044025157232704,0.8855507868383404
0.55,1.0,1.700000000000001,0.5776240601503759,0.144,0.09375,0.3103448275862069,0.7031578947368421,0.8857142857142857
0.55,1.0,1.750000000000001,0.5761328146707418,0.144,0.09375,0.3103448275862069,0.6991525423728814,0.8852459016393442
0.55,1.0,1.8000000000000012,0.575671995652456,0.144,0.09375,0.3103448275862069,0.6980728051391863,0.8849431818181818
0.55,1.0,1.8500000000000012,0.5733870205139938,0.144,0.09375,0.3103448275862069,0.6924731182795699,0.8836879432624114
0.55,1.0,1.9000000000000012,0.5741482033611117,0.144,0.09375,0.3103448275862069,0.6939655172413793,0.884479092841956
0.55,1.0,1.9500000000000013,0.5737610990095067,0.144,0.09375,0.3103448275862069,0.6926406926406926,0.8846426043878273
0.55,1.0,2.0000000000000013,0.572099534340721,0.14516129032258066,0.09375,0.32142857142857145,0.6869565217391305,0.884180790960452
0.55,1.0,2.0500000000000016,0.5630724908306354,0.11475409836065574,0.07291666666666667,0.2692307692307692,0.6899563318777293,0.8845070422535212
0.55,1.0,2.1000000000000014,0.5626733563983048,0.11475409836065574,0.07291666666666667,0.2692307692307692,0.6885964912280702,0.8846694796061885
0.55,1.0,2.1500000000000012,0.5632507461037052,0.11570247933884298,0.07291666666666667,0.28,0.6885964912280702,0.8854532677442024
0.55,1.0,2.2000000000000015,0.5588743144414718,0.1,0.0625,0.25,0.6916299559471366,0.884992987377279
0.55,1.0,2.2500000000000018,0.5570718945690577,0.10084033613445378,0.0625,0.2608695652173913,0.6858407079646017,0.8845346396081175
0.55,1.0,2.3000000000000016,0.5576167695111748,0.1016949152542373,0.0625,0.2727272727272727,0.6858407079646017,0.8853146853146853
0.55,1.0,2.3500000000000014,0.5576167695111748,0.1016949152542373,0.0625,0.2727272727272727,0.6858407079646017,0.8853146853146853
0.55,1.0,2.4000000000000017,0.558166150446442,0.10256410256410256,0.0625,0.2857142857142857,0.6858407079646017,0.8860936408106219
0.55,1.0,2.450000000000002,0.558166150446442,0.10256410256410256,0.0625,0.2857142857142857,0.6858407079646017,0.8860936408106219
0.55,1.0,2.5000000000000018,0.5575425740060034,0.10344827586206896,0.0625,0.3,0.6829268292682927,0.8862526168876483
0.55,1.0,2.5500000000000016,0.5522359082104891,0.08771929824561403,0.052083333333333336,0.2777777777777778,0.6830357142857143,0.885952712100139
0.55,1.0,2.600000000000002,0.5440115877247,0.07079646017699115,0.041666666666666664,0.23529411764705882,0.6771300448430493,0.8841082581540597
0.6000000000000001,1.0,0.5,0.5869420233807104,0.23809523809523808,0.20833333333333334,0.2777777777777778,0.6773049645390071,0.8454258675078864
0.6000000000000001,1.0,0.55,0.5967259585772909,0.2484472049689441,0.20833333333333334,0.3076923076923077,0.6845878136200717,0.8571428571428571
0.6000000000000001,1.0,0.6000000000000001,0.5997743586204379,0.25157232704402516,0.20833333333333334,0.31746031746031744,0.6870503597122302,0.8607003891050584
0.6000000000000001,1.0,0.6500000000000001,0.6034473333688609,0.25477707006369427,0.20833333333333334,0.32786885245901637,0.6909090909090909,0.8646558391337974
0.6000000000000001,1.0,0.7000000000000002,0.601807460611601,0.25477707006369427,0.20833333333333334,0.32786885245901637,0.6862385321100918,0.864406779661017
0.6000000000000001,1.0,0.7500000000000002,0.6005982969594102,0.24836601307189543,0.19791666666666666,0.3333333333333333,0.686456400742115,0.8669724770642202
0.6000000000000001,1.0,0.8000000000000003,0.5990584580081042,0.23841059602649006,0.1875,0.32727272727272727,0.6892655367231638,0.8694992412746586
0.6000000000000001,1.0,0.8500000000000003,0.6003694782159693,0.24161073825503357,0.1875,0.33962264150943394,0.6880907372400756,0.8714069591527988
0.6000000000000001,1.0,0.9000000000000004,0.599875283446712,0.23129251700680273,0.17708333333333334,0.3333333333333333,0.6933333333333334,0.875
0.6000000000000001,1.0,0.9500000000000004,0.6008043501160043,0.2328767123287671,0.17708333333333334,0.34,0.6948176583493282,0.8747186796699175
0.6000000000000001,1.0,1.0000000000000004,0.5933127815745044,0.20833333333333334,0.15625,0.3125,0.6963249516441006,0.8752800597460791
0.6000000000000001,1.0,1.0500000000000005,0.5958124871856668,0.2112676056338028,0.15625,0.32608695652173914,0.6990291262135923,0.8771407297096053
0.6000000000000001,1.0,1.1000000000000005,0.5971888896264264,0.2112676056338028,0.15625,0.32608695652173914,0.7019607843137254,0.8783382789317508
0.6000000000000001,1.0,1.1500000000000006,0.5982839022919104,0.2127659574468085,0.15625,0.3333333333333333,0.7023809523809523,0.8797047970479704
