modelo,feature,FN_0a1,FN_0a2,TP_0,dif_TP_menos_FN1,dif_TP_menos_FN2,max_abs_dif
CatBoost(bal),dered_u,-0.7193732401931991,0.2748867816621143,0.20733831511858547,0.9267115553117846,-0.0675484665435288,0.9267115553117846
CatBoost(bal),psf_minus_model_i,1.1025142666562207,-0.4466365336241286,0.17661493115719573,-0.9258993354990249,0.6232514647813243,0.9258993354990249
CatBoost(bal),modelMag_u,-0.6995118237600493,0.266915961328242,0.22003242625878933,0.9195442500188387,-0.0468835350694527,0.9195442500188387
CatBoost(bal),cModelMag_u,-0.6519799237802522,0.2164013107131237,0.2656349630430932,0.9176148868233454,0.049233652329969485,0.9176148868233454
CatBoost(bal),psf_minus_cmodel_i,1.1087816973621138,-0.47466511288713503,0.43453555125225535,-0.6742461461098586,0.9092006641393904,0.9092006641393904
CatBoost(bal),fiber_minus_model_r,1.0242138713720845,-0.47361841087184525,0.1195583287622603,-0.9046555426098242,0.5931767396341056,0.9046555426098242
CatBoost(bal),psf_minus_cmodel_r,1.1392288327232347,-0.4315805105543708,0.2516770433723975,-0.8875517893508372,0.6832575539267682,0.8875517893508372
CatBoost(bal),fiberMagErr_z,0.024904327076867697,0.1510229657770144,0.9095535127415237,0.884649185664656,0.7585305469645094,0.884649185664656
CatBoost(bal),psfMag_color_g_r,-0.7432910493186456,0.1414747830794477,0.12458197814332647,0.8678730274619721,-0.01689280493612122,0.8678730274619721
CatBoost(bal),petroMag_color_g_i,-0.8311523386456563,0.26941335123337,0.034382519911262406,0.8655348585569187,-0.23503083132210761,0.8655348585569187
CatBoost(bal),petroMag_i,-0.2146180070208966,0.43528720178800223,0.627656362244288,0.8422743692651846,0.19236916045628577,0.8422743692651846
CatBoost(bal),psf_minus_model_r,1.1061298754987714,-0.4383390986892393,0.26589403717184545,-0.8402358383269259,0.7042331358610847,0.8402358383269259
CatBoost(bal),psf_minus_cmodel_u,0.6213588962099126,-0.17144621651703038,-0.20269684804968618,-0.8240557442595988,-0.03125063153265581,0.8240557442595988
CatBoost(bal),cModelMag_r,-0.3226472035137894,0.473096390767383,0.4541682050696641,0.7768154085834535,-0.018928185697718924,0.7768154085834535
CatBoost(bal),psfMag_color_g_i,-0.7985740818332933,0.2076304716555967,-0.5687325335887926,0.22984154824450065,-0.7763630052443893,0.7763630052443893
CatBoost(bal),dered_color_u_r,-0.8324445581271592,-0.011680867448848617,-0.07568396863137014,0.7567605894957891,-0.06400310118252152,0.7567605894957891
CatBoost(bal),fiberMag_color_g_i,-0.838378527066451,0.09938507754963788,-0.6560725512303922,0.1823059758360588,-0.7554576287800301,0.7554576287800301
CatBoost(bal),modelMag_color_u_r,-0.8189246649673362,-0.015959478158567582,-0.06534402192030885,0.7535806430470273,-0.04938454376174126,0.7535806430470273
CatBoost(bal),dered_r,-0.3051778915465835,0.48132719950081704,0.4370081546408693,0.7421860461874528,-0.044319044859947754,0.7421860461874528
CatBoost(bal),modelMag_r,-0.289714599329858,0.47292288334937027,0.4474343373105761,0.737148936640434,-0.02548854603879419,0.737148936640434
CatBoost(bal),cModelMag_color_g_i,-0.9195186260869317,0.16858761997915106,-0.1972295398961075,0.7222890861908242,-0.36581715987525854,0.7222890861908242
CatBoost(bal),dered_color_g_i,-0.9297178417171751,0.19857397927161424,-0.5097674284892542,0.4199504132279209,-0.7083414077608684,0.7083414077608684
CatBoost(bal),z,-0.549281701067071,0.2489550479740036,0.15133879843498593,0.7006204995020568,-0.09761624953901768,0.7006204995020568
CatBoost(bal),fiberMag_z,0.49109459836590713,0.24604454772209491,0.9405929485637415,0.4494983501978344,0.6945484008416466,0.6945484008416466
CatBoost(bal),modelMag_color_g_i,-0.90501799312103,0.18984113412452744,-0.48905496715995184,0.4159630259610782,-0.6788961012844793,0.6788961012844793
CatBoost(bal),fiberMag_color_u_g,-0.8009544881687519,-0.15551335041000786,-0.8283305974513325,-0.027376109282580607,-0.6728172470413247,0.6728172470413247
